Sample in Buffer,Sample in Window,TRIGGER,dbg_sample[31:0],dbg_expected[31:0],dbg_pred[31:0],dbg_cycles[31:0],dbg_correct[31:0],dbg_pulse,custom_funct3[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
263,263,0,167,0,0,655,168,0,0
264,264,0,167,0,0,655,168,0,0
265,265,0,167,0,0,655,168,0,0
266,266,0,167,0,0,655,168,0,2
267,267,0,167,0,0,655,168,0,2
268,268,0,167,0,0,655,168,0,2
269,269,0,167,0,0,655,168,0,7
270,270,0,167,0,0,655,168,0,7
271,271,0,167,0,0,655,168,0,7
272,272,0,167,0,0,655,168,0,2
273,273,0,167,0,0,655,168,0,2
274,274,0,167,0,0,655,168,0,2
275,275,0,167,0,0,655,168,0,2
276,276,0,167,0,0,655,168,0,7
277,277,0,167,0,0,655,168,0,7
278,278,0,167,0,0,655,168,0,7
279,279,0,167,0,0,655,168,0,2
280,280,0,167,0,0,655,168,0,2
281,281,0,167,0,0,655,168,0,2
282,282,0,167,0,0,655,168,0,2
283,283,0,167,0,0,655,168,0,0
284,284,0,167,0,0,655,168,0,0
285,285,0,167,0,0,655,168,0,0
286,286,0,167,0,0,655,168,0,2
287,287,0,167,0,0,655,168,0,2
288,288,0,167,0,0,655,168,0,2
289,289,0,167,0,0,655,168,0,7
290,290,0,167,0,0,655,168,0,7
291,291,0,167,0,0,655,168,0,7
292,292,0,167,0,0,655,168,0,2
293,293,0,167,0,0,655,168,0,2
294,294,0,167,0,0,655,168,0,2
295,295,0,167,0,0,655,168,0,2
296,296,0,167,0,0,655,168,0,7
297,297,0,167,0,0,655,168,0,7
298,298,0,167,0,0,655,168,0,7
299,299,0,167,0,0,655,168,0,2
300,300,0,167,0,0,655,168,0,2
301,301,0,167,0,0,655,168,0,2
302,302,0,167,0,0,655,168,0,2
303,303,0,167,0,0,655,168,0,0
304,304,0,167,0,0,655,168,0,0
305,305,0,167,0,0,655,168,0,0
306,306,0,167,0,0,655,168,0,2
307,307,0,167,0,0,655,168,0,2
308,308,0,167,0,0,655,168,0,2
309,309,0,167,0,0,655,168,0,7
310,310,0,167,0,0,655,168,0,7
311,311,0,167,0,0,655,168,0,7
312,312,0,167,0,0,655,168,0,2
313,313,0,167,0,0,655,168,0,2
314,314,0,167,0,0,655,168,0,2
315,315,0,167,0,0,655,168,0,2
316,316,0,167,0,0,655,168,0,7
317,317,0,167,0,0,655,168,0,7
318,318,0,167,0,0,655,168,0,7
319,319,0,167,0,0,655,168,0,2
320,320,0,167,0,0,655,168,0,2
321,321,0,167,0,0,655,168,0,2
322,322,0,167,0,0,655,168,0,2
323,323,0,167,0,0,655,168,0,0
324,324,0,167,0,0,655,168,0,0
325,325,0,167,0,0,655,168,0,0
326,326,0,167,0,0,655,168,0,2
327,327,0,167,0,0,655,168,0,2
328,328,0,167,0,0,655,168,0,2
329,329,0,167,0,0,655,168,0,7
330,330,0,167,0,0,655,168,0,7
331,331,0,167,0,0,655,168,0,7
332,332,0,167,0,0,655,168,0,2
333,333,0,167,0,0,655,168,0,2
334,334,0,167,0,0,655,168,0,2
335,335,0,167,0,0,655,168,0,2
336,336,0,167,0,0,655,168,0,7
337,337,0,167,0,0,655,168,0,7
338,338,0,167,0,0,655,168,0,7
339,339,0,167,0,0,655,168,0,2
340,340,0,167,0,0,655,168,0,2
341,341,0,167,0,0,655,168,0,2
342,342,0,167,0,0,655,168,0,2
343,343,0,167,0,0,655,168,0,0
344,344,0,167,0,0,655,168,0,0
345,345,0,167,0,0,655,168,0,0
346,346,0,167,0,0,655,168,0,2
347,347,0,167,0,0,655,168,0,2
348,348,0,167,0,0,655,168,0,2
349,349,0,167,0,0,655,168,0,7
350,350,0,167,0,0,655,168,0,7
351,351,0,167,0,0,655,168,0,7
352,352,0,167,0,0,655,168,0,2
353,353,0,167,0,0,655,168,0,2
354,354,0,167,0,0,655,168,0,2
355,355,0,167,0,0,655,168,0,2
356,356,0,167,0,0,655,168,0,7
357,357,0,167,0,0,655,168,0,7
358,358,0,167,0,0,655,168,0,7
359,359,0,167,0,0,655,168,0,2
360,360,0,167,0,0,655,168,0,2
361,361,0,167,0,0,655,168,0,2
362,362,0,167,0,0,655,168,0,2
363,363,0,167,0,0,655,168,0,0
364,364,0,167,0,0,655,168,0,0
365,365,0,167,0,0,655,168,0,0
366,366,0,167,0,0,655,168,0,2
367,367,0,167,0,0,655,168,0,2
368,368,0,167,0,0,655,168,0,2
369,369,0,167,0,0,655,168,0,7
370,370,0,167,0,0,655,168,0,7
371,371,0,167,0,0,655,168,0,7
372,372,0,167,0,0,655,168,0,2
373,373,0,167,0,0,655,168,0,2
374,374,0,167,0,0,655,168,0,2
375,375,0,167,0,0,655,168,0,2
376,376,0,167,0,0,655,168,0,7
377,377,0,167,0,0,655,168,0,7
378,378,0,167,0,0,655,168,0,7
379,379,0,167,0,0,655,168,0,2
380,380,0,167,0,0,655,168,0,2
381,381,0,167,0,0,655,168,0,2
382,382,0,167,0,0,655,168,0,2
383,383,0,167,0,0,655,168,0,0
384,384,0,167,0,0,655,168,0,0
385,385,0,167,0,0,655,168,0,0
386,386,0,167,0,0,655,168,0,2
387,387,0,167,0,0,655,168,0,2
388,388,0,167,0,0,655,168,0,2
389,389,0,167,0,0,655,168,0,7
390,390,0,167,0,0,655,168,0,7
391,391,0,167,0,0,655,168,0,7
392,392,0,167,0,0,655,168,0,2
393,393,0,167,0,0,655,168,0,2
394,394,0,167,0,0,655,168,0,2
395,395,0,167,0,0,655,168,0,2
396,396,0,167,0,0,655,168,0,7
397,397,0,167,0,0,655,168,0,7
398,398,0,167,0,0,655,168,0,7
399,399,0,167,0,0,655,168,0,2
400,400,0,167,0,0,655,168,0,2
401,401,0,167,0,0,655,168,0,2
402,402,0,167,0,0,655,168,0,2
403,403,0,167,0,0,655,168,0,0
404,404,0,167,0,0,655,168,0,0
405,405,0,167,0,0,655,168,0,0
406,406,0,167,0,0,655,168,0,2
407,407,0,167,0,0,655,168,0,2
408,408,0,167,0,0,655,168,0,2
409,409,0,167,0,0,655,168,0,7
410,410,0,167,0,0,655,168,0,7
411,411,0,167,0,0,655,168,0,7
412,412,0,167,0,0,655,168,0,2
413,413,0,167,0,0,655,168,0,2
414,414,0,167,0,0,655,168,0,2
415,415,0,167,0,0,655,168,0,2
416,416,0,167,0,0,655,168,0,7
417,417,0,167,0,0,655,168,0,7
418,418,0,167,0,0,655,168,0,7
419,419,0,167,0,0,655,168,0,2
420,420,0,167,0,0,655,168,0,2
421,421,0,167,0,0,655,168,0,2
422,422,0,167,0,0,655,168,0,2
423,423,0,167,0,0,655,168,0,0
424,424,0,167,0,0,655,168,0,0
425,425,0,167,0,0,655,168,0,0
426,426,0,167,0,0,655,168,0,2
427,427,0,167,0,0,655,168,0,2
428,428,0,167,0,0,655,168,0,2
429,429,0,167,0,0,655,168,0,7
430,430,0,167,0,0,655,168,0,7
431,431,0,167,0,0,655,168,0,7
432,432,0,167,0,0,655,168,0,2
433,433,0,167,0,0,655,168,0,2
434,434,0,167,0,0,655,168,0,2
435,435,0,167,0,0,655,168,0,2
436,436,0,167,0,0,655,168,0,7
437,437,0,167,0,0,655,168,0,7
438,438,0,167,0,0,655,168,0,7
